,question,correct_answer
1,What phenomenon makes global winds blow northeast to southwest or the reverse in the northern hemisphere and northwest to southeast or the reverse in the southern hemisphere?,Without Coriolis Effect the global winds would blow north to south or south to north. But Coriolis makes them blow northeast to southwest or the reverse in the Northern Hemisphere. The winds blow northwest to southeast or the reverse in the southern hemisphere.
3,What is the least dangerous radioactive decay?,"All radioactive decay is dangerous to living things, but alpha decay is the least dangerous."
5,"When a meteoroid reaches earth, what is the remaining object called?","Meteoroids are smaller than asteroids, ranging from the size of boulders to the size of sand grains. When meteoroids enter Earth’s atmosphere, they vaporize, creating a trail of glowing gas called a meteor. If any of the meteoroid reaches Earth, the remaining object is called a meteorite."
8,Alpha emission is a type of what?,One type of radioactivity is alpha emission. What is an alpha particle? What happens to an alpha particle after it is emitted from an unstable nucleus?.
9,What is the stored food in a seed called?,The stored food in a seed is called endosperm . It nourishes the embryo until it can start making food on its own.
11,What is controlled by both genes and experiences in a given envionment?,Most animal behaviors are controlled by both genes and experiences in a given environment.
13,What are used to write nuclear equations for radioactive decay?,Nuclear symbols are used to write nuclear equations for radioactive decay. Let’s consider the example of the beta-minus decay of thorium-234 to protactinium-234. This reaction is represented by the equation:.
14,What is controlled by regulatory proteins that bind to regulatory elements on dna?,Gene transcription is controlled by regulatory proteins that bind to regulatory elements on DNA. The proteins usually either activate or repress transcription.
16,What organ systems link exchange surfaces with cells throughout the body?,42.1 Circulatory systems link exchange surfaces with cells throughout the body.
17,What occurs when the immune system attacks a harmless substance that enters the body from the outside?,"An allergy occurs when the immune system attacks a harmless substance that enters the body from the outside. A substance that causes an allergy is called an allergen. It is the immune system, not the allergen, that causes the symptoms of an allergy."
18,"Fertilization is the union of a sperm and egg, resulting in the formation of what?","Fertilization is the union of a sperm and egg, resulting in the formation of a zygote."
20,Most of the chemical reactions in the body are facilitated by what?,"Enzymes are critical to the body’s healthy functioning. They assist, for example, with the breakdown of food and its conversion to energy. In fact, most of the chemical reactions in the body are facilitated by enzymes."
24,Testing what usually requires making observations or performing experiments?,"Usually, testing a hypothesis requires making observations or performing experiments. In this case, we will look into existing scientific literature to see if either of these hypotheses can be disproved, or if one or both can be supported by the data."
27,A small scale version of what type of map displays individual rock units?,Geologic maps display rock units and geologic features. A small scale map displays individual rock units while a large scale map shows geologic provinces.
28,What is defined as a change in the inherited traits of organisms over time?,One idea is that evolution happens. Evolution is a change in the inherited traits of organisms over time. Living things have changed as descendants diverged from common ancestors in the past.
30,Where do angiosperms produce seeds in flowers?,Seed plants called angiosperms produce seeds in the ovaries of flowers.
31,"In order to create food, what do photosynthetic protists use?",Photosynthetic protists use light energy to make food. They are major producers in aquatic ecosystems.
33,What type of ions do ionic compounds contain?,An ionic compound contains positive and negative ions.
35,The cells of all eukarya have a what?,"Some Eukarya are also single-celled, but many are multicellular. Some have a cell wall; others do not. However, the cells of all Eukarya have a nucleus and other organelles."
36,What type of plate boundaries produce huge mountain ranges in the ocean basin?,Divergent plate boundaries produce huge mountain ranges under water in every ocean basin.
41,What phenomenon is primarily the result of plate tectonic motions?,Earthquakes are primarily the result of plate tectonic motions. What type of stress would cause earthquakes at each of the three types of plate boundaries?.
46,A diet rich in calcium and what vitamin may reduce the risk of osteoporosis and related bone fractures?,"Skeletal system problems include osteoporosis, bone fractures, and ligament sprains. A diet rick in calcium and vitamin D may reduce the risk of osteoporosis and related bone fractures. Following safe practices may also reduce the risk of fractures as well as sprains."
48,What substances serve as catalysts in most of the biochemical reactions that take place in organisms?,"Enzymes are involved in most of the biochemical reactions that take place in organisms. About 4,000 such reactions are known to be catalyzed by enzymes, but the number may be even higher. Enzymes allow reactions to occur at the rate necessary for life."
54,"In the presence of oxygen, hydrogen can interact to make what?","A pile of leaves slowly rots in the backyard. In the presence of oxygen, hydrogen can interact to make water. Gold can be stretched into very thin wires."
58,Increasing the temperature of n2 molecules increases what energy of motion?,Increasing the temperature increases the average kinetic energy of the N2molecules.
65,Which cycle tracks the flow of nitrogen through an ecosystem?,Mariana Ruiz Villarreal (LadyofHats) for CK-12 Foundation. The nitrogen cycle tracks the flow of nitrogen through an ecosystem . CC BY-NC 3.0.
70,What phenomenon is crowding out other species and making all the other causes of extinction worse?,"Human overpopulation, which is crowding out other species. It also makes all the other causes of extinction worse."
73,The fossil record shows that this type of event is followed by the evolution of new species to fill the habitats where old species lived?,"After each mass extinction, new species evolve to fill the habitats where old species lived. This is well documented in the fossil record."
85,What are unsaturated hydrocarbons with at least one double bond between carbon atoms called?,Alkenes are unsaturated hydrocarbons with at least one double bond between carbon atoms.
90,Sexual reproduction involves haploid gametes and produces a diploid zygote through what process?,Sexual reproduction involves haploid gametes and produces a diploid zygote through fertilization.
93,What secures together immovable joints and prevents them from moving?,Immovable joints allow no movement because the bones at these joints are held securely together by dense collagen . The bones of the skull are connected by immovable joints.
94,Transform faults are the site of massive what?,Transform faults are the site of massive earthquakes.
99,What is the term for the process in which living things with beneficial traits produce more offspring than others do?,The other idea is that evolution occurs by natural selection. Natural selection is the process in which living things with beneficial traits produce more offspring than others do. This results in changes in the traits of living things over time.
100,"In a chemical reaction, the amounts of reactants and products will be constant when what state is attained?","The amount of reactants and products do not have to be equal. However, after equilibrium is attained, the amounts of reactants and products will be constant."
101,What protects a developing flower while it is still a bud?,"Sepals protect the developing flower while it is still a bud. Sepals are usually green, which camouflages the bud from possible consumers."
106,Renal plasma flow equals the blood flow per minute times the what?,"Renal plasma flow equals the blood flow per minute times the hematocrit. If a person has a hematocrit of 45, then the renal plasma flow is 55 percent. 1050*0.55 = 578 mL plasma/min."
107,What does lattice energy of an ionic solid measure the strength of?,Lattice energy of an ionic solid is a measure of the strength of bonds in that ionic compound.
110,Titration is a method to determine what in acids or bases?,The concentration of an acid or base can be determined by titration.
117,The bones of the skull are connected by what type of joints?,Immovable joints allow no movement because the bones at these joints are held securely together by dense collagen. The bones of the skull are connected by immovable joints.
124,"A few earthquakes take place away from plate boundaries, these are called what?",The remaining 5% are scattered around other plate boundaries. A few earthquakes take place away from plate boundaries. These are intraplate earthquakes.
125,Red litmus paper turns what color when placed in a basic solution?,Red litmus paper turns blue when placed in a basic solution.
127,"While the egg is developing, other changes are taking place in the uterus. it develops a thick lining that is full of what?","While the egg is developing, other changes are taking place in the uterus. It develops a thick lining that is full of tiny blood vessels. The lining prepares the uterus to receive a fertilized egg if fertilization actually takes place."
130,In what way do all vertebrates reproduce?,"Vertebrates reproduce sexually, and almost all have separate male and female sexes. Aquatic species generally have external fertilization, whereas terrestrial species usually have internal fertilization. Vertebrates have one of three reproductive strategies, known as ovipary, ovovivipary, or vivipary."
135,What the name of the disease where some of the alveoli of the lungs fill with fluid so they can no longer exchange gas?,"Pneumonia is a disease in which some of the alveoli of the lungs fill with fluid so they can no longer exchange gas. Symptoms of pneumonia typically include coughing, chest pain, difficulty breathing, and fatigue. Pneumonia may be caused by an infection or an injury to the lungs."
145,"When a series of measurements is precise but not what, the error is usually systematic?","0 .033 g 1 .117 g × 100 = 3 .0% When a series of measurements is precise but not accurate, the error is usually systematic. Systematic errors can be caused by faulty instrumentation or faulty technique. The difference between accuracy and precision is demonstrated in Skill Builder ES7."
148,"All forms of energy can be interconverted. three things can change the energy of an object: the transfer of heat, work performed on or by an object, or some combination of what?","All forms of energy can be interconverted. Three things can change the energy of an object: the transfer of heat, work performed on or by an object, or some combination of heat and work."
149,What science includes many fields of science related to our home planet?,Earth science includes many fields of science related to our home planet.
