question,answer,original_correct_answer
How are bacteria cells similar to our cells?,"Yes and no. Bacteria cells are similar to our cells in some ways. Like our cells, bacteria cells have DNA and a plasma membrane. But bacteria are unique in other ways. They are called prokaryotic cells because of these differences.",dna & plasma membrane
What disease is unpreventable in the type one form but may be prevented by diet if it is of the second type?,"Type 1 diabetes and other autoimmune diseases cannot be prevented. But choosing a healthy lifestyle can help prevent type 2 diabetes. Getting plenty of exercise, avoiding high-fat foods, and staying at a healthy weight can reduce the risk of developing this type of diabetes. This is especially important for people who have family members with the disease.",diabetes
Water leaves ponds and lakes through evaporation and also as what?,Ponds and lakes may get their water from several sources. Some falls directly into them as precipitation. Some enters as runoff and some from streams and rivers. Water leaves ponds and lakes through evaporation and also as outflow.,outflow
The acidity of a solution is typically assessed experimentally by measurement of its what?,"The acidity of a solution is typically assessed experimentally by measurement of its pH. The pOH of a solution is not usually measured, as it is easily calculated from an experimentally determined pH value. The pH of a solution can be directly measured using a pH meter (Figure 14.4).",ph
What are the special compartments that are surrounded by membranes inside eukaryotic cells called?,"Eukaryotic cells contain special compartments surrounded by membranes, called organelles. For example, notice in this image the mitochondria, lysosomes, and Golgi apparatus.",organelles
What is the leading cause of lung cancer?,"Tobacco smoke contains dozens of carcinogens, including nicotine and formaldehyde. Exposure to tobacco smoke is the leading cause of lung cancer.",tobacco smoke
What is the name of the major sex hormone in females?,Two functions of the female reproductive system are producing eggs and secreting estrogen. Eggs are female gametes. Estrogen is the major sex hormone in females. The female reproductive system also supports a developing fetus and gives birth to an infant.,estrogen
What refers to the ability to change or move matter and is required by all life processes and living things?,"Energy is the ability to change or move matter. All life processes require energy, so all living things need energy.",energy
What term is used to describe organelles that are found only in animal cells?,Centrioles are organelles that are found only in animal cells. They are located near the nucleus. They help organize the DNA in the nucleus before cell division takes place. They ensure that the DNA divides correctly when the cell divides.,centrioles
What broad group of living things serves as the major producers in terrestrial biomes?,"Plants are the major producers in terrestrial biomes. They have five basic needs: air, warmth, sunlight, water, and nutrients. How well these needs are met in a given location depends on the growing season and soil quality, both of which are determined mainly by climate.",plants
The process of moving from areas of high amounts to areas of low amounts is called what?,They will all blend together. The dyes will move through the water until an even distribution is achieved. The process of moving from areas of high amounts to areas of low amounts is called diffusion.,diffusion
What do sharks use to secrete salt to assist in osmoregulation?,animals exposed to similar levels of urea. Sharks are cartilaginous fish with a rectal gland to secrete salt and assist in osmoregulation.,rectal gland
What protists absorb food molecules across their cell membranes?,Absorptive protists absorb food molecules across their cell membranes. This occurs by diffusion . These protists are important decomposers.,absorptive
All of the stages that a cell goes through make up what?,Cell division is just one of the stages that a cell goes through during its lifetime. All of the stages that a cell goes through make up the cell cycle .,the cell cycle
The movement of bone away from the midline of the body is called what?,The movement of bone away from the midline of the body is called ________. circumduction b. extension c. adduction d. abduction.,extension
What part of the body do fish use to absorb oxygen?,"In order to absorb oxygen from the water, fish use gills ( Figure below ). Gills take dissolved oxygen from water as the water flows over the surface of the gill.",gills
"What process is at work when warm air or water rises, and cool air or water sinks?","Warmer, lighter air is more buoyant than the cooler air above it. So the warm air rises. The cooler air is denser than the air beneath it. So it sinks down. This is convection: warm air rises, and cool air sinks. Warm fluids can undergo convection as well. This is described in the chapter Plate Tectonics .",convection
What is the main component of phytoplankton?,"Algae play significant roles as producers in aquatic ecosystems. Microscopic forms live suspended in the water column. They are the main component of phytoplankton. As such, they contribute to the food base of most marine ecosystems.",algae
How did a vascular let plants grow?,The evolution of vascular tissue revolutionized the plant kingdom. Vascular tissue greatly improved the ability of plants to absorb and transfer water. This allowed plants to grow larger and taller. They could also liver in drier habitats and survive periods of drought. Early vascular plants probably resembled the fern in Figure below .,they could grow taller
What is it called when a new species arises without geographic separation?,"Less often, a new species arises without geographic separation. This is called sympatric speciation . The following example shows one way this can occur.",sympatric speciation
What pair of tubes that extends toward the ovaries features a fringelike structure that sweeps eggs inside?,Extending from the upper corners of the uterus are the two fallopian tubes. Each tube reaches (but is not attached to) one of the ovaries. The ovary end of the tube has a fringelike structure that moves in waves. The motion sweeps eggs from the ovary into the tube.,fallopian tubes
Light waves which interfere with themselves after interaction with a small aperture or target are said to what?,Waves are characterized by their ability to constructively and destructively interfere . Light waves which interfere with themselves after interaction with a small aperture or target are said to diffract .,diffract
What is the atomic number of magnesium?,REVIEW QUESTIONS 2. Magnesium has an atomic number of 12. Which of the following statements is true of a neutral magnesium atom? a.,12
"Which theorem states that, if a population meets certain conditions, it will be in equilibrium?","The Hardy-Weinberg theorem states that, if a population meets certain conditions, it will be in equilibrium. In an equilibrium population, allele and genotype frequencies do not change over time. The conditions that must be met are no mutation, no migration, very large population size, random mating, and no natural selection.",hardy-weinberg theorem
What are the special mating behaviors in birds called?,"Birds reproduce sexually and have separates sexes. Fertilization occurs internally, so males and females must mate. Many bird species have special behaviors, such as unique songs or visual displays, for attracting mates. These special behaviors are called courtship. The white peacock in Figure below is putting on a stunning display of his amazing tail feathers to court a mate.",courtship
What are the active transport mechanisms by which molecules enter and leave the cell inside vesicles?,Endocytosis and exocytosis are active transport mechanisms in which large molecules enter and leave the cell inside vesicles.,endocytosis and exocytosis
"What state of matter is characterized by tiny particles separated by large distances, which do not experience any force of attraction or repulsion with each other?","Gases are composed of tiny particles that are separated by large distances. Gas particles are constantly moving, experiencing collisions with other gas particles and the walls of their container. The velocity of gas particles is related to the temperature of a gas. Gas particles do not experience any force of attraction or repulsion with each other.",gas
What do nonvascular plants reproduce with?,"Nonvascular plants are low-growing, reproduce with spores, and need a moist habitat.",spores
