question,answer,original_correct_answer
The spectrum is made up of discrete lines representing transitions of the hydrogen electron between specific energy levels within what?,The emission spectrum of hydrogen is discontinuous. The spectrum is made up of discrete lines representing transitions of the hydrogen electron between specific energy levels within the atom.,the atom
Much of the damage from hurricanes may be caused by?,A hurricane is a large storm with high winds and heavy rains. Hurricanes develop from tropical cyclones. They form over warm ocean water. Much of the damage from hurricanes may be caused by storm surge.,storm surge
The electrochemical potential across a membrane determines the tendency of an ion to do what?,The electrochemical potential across a membrane determines the tendency of an ion to cross the membrane. The membrane may be that of a cell or organelle or other sub cellular compartment. The electrochemical potential arises from three factors:.,cross the membrane
What is transferred in an acid-base reaction,"Acid-base reactions involve a transfer of a hydrogen ion instead of an electron. Acid-base reactions, like the one below, are also not redox reactions.",hydrogen ion
What is the physical breakdown of chunks of food into smaller pieces?,Mechanical digestion is the physical breakdown of chunks of food into smaller pieces. This type of digestion takes place mainly in the mouth and stomach.,mechanical digestion
Scientists perform experiments to test their hypotheses because sometimes the nature of natural universe is what?,Scientists perform experiments to test their hypotheses because sometimes the nature of natural universe is not obvious.,not obvious
What makes metals shiny?,Metals are generally shiny. This is because they reflect much of the light that strikes them. The mercury pictured above is very shiny.,light reflection
What are flightless birds that are strong swimmers and spend much of their time in the water?,Penguins are flightless birds that are strong swimmers and spend much of their time in the water.,penguins
What do ecologists study at every level?,"Ecologists study ecosystems at every level, from the individual organism to the whole ecosystem and biosphere. They can ask different types of questions at each level. Examples of these questions are given in Table below , using the zebra ( Equus zebra ) as an example.",ecosystems
"What branch of science is based on the modern atomic theory, which states that all matter is composed of atoms?","Chemistry is based on the modern atomic theory, which states that all matter is composed of atoms.",chemistry
What do nonvascular plants reproduce with?,"Nonvascular plants are low-growing, reproduce with spores, and need a moist habitat.",spores
Chemical reactions involve a transfer of heat energy. measured in what?,Chemical reactions involve a transfer of heat energy. Measured in joules.,joules
"If two populations do not mate and produce fertile offspring, what results?","How do you think scientists test whether two populations are separate species? They bring species from two populations back together again. If the two populations do not mate and produce fertile offspring, they are separate species.",separate species
"Photosynthesis uses solar energy, carbon dioxide, and water to produce energy-storing carbohydrates.what is produced as a waste product?","Figure 8.4 Photosynthesis uses solar energy, carbon dioxide, and water to produce energy-storing carbohydrates. Oxygen is generated as a waste product of photosynthesis.",oxygen
"What is the term for protists that produce spores, such as the toxoplasm?","The sporozoans are protists that produce spores, such as the toxoplasma . These protists do not move at all. The spores develop into new protists.",sporozoans
Where are most of the organs contained in insects?,"Like other arthropods, insects have three body segments and many jointed appendages. The abdomen contains most of the internal organs. Six legs are attached to the thorax. There are several appendages on the insect’s head:.",the abdomen
What disease is unpreventable in the type one form but may be prevented by diet if it is of the second type?,"Type 1 diabetes and other autoimmune diseases cannot be prevented. But choosing a healthy lifestyle can help prevent type 2 diabetes. Getting plenty of exercise, avoiding high-fat foods, and staying at a healthy weight can reduce the risk of developing this type of diabetes. This is especially important for people who have family members with the disease.",diabetes
What pair of tubes that extends toward the ovaries features a fringelike structure that sweeps eggs inside?,Extending from the upper corners of the uterus are the two fallopian tubes. Each tube reaches (but is not attached to) one of the ovaries. The ovary end of the tube has a fringelike structure that moves in waves. The motion sweeps eggs from the ovary into the tube.,fallopian tubes
What do corals secrete that builds up to become a coral reef?,Cnidarians include jellyfish and corals. They are aquatic invertebrates. They have tissues and radial symmetry. They also have tentacles with stingers. There are two cnidarian body plans: the polyp and the medusa. They differ in several ways. Many corals secrete an exoskeleton that builds up to become a coral reef.,exoskeleton
"What is the term for rain that has a ph less than 5, due to carbon dioxide dissolving?","Acid rain is rain that has a pH less than 5 (see Figure below ). The pH of normal rain is 5.6. It’s slightly acidic because carbon dioxide in the air dissolves in rain. This forms carbonic acid, a weak acid.",acid rain
What is the result of a reaction between sulfur trioxide and water?,Sulfur trioxide gas reacts with water to form sulfuric acid. This is an unfortunately common reaction that occurs in the atmosphere in some places where oxides of sulfur are present as pollutants. The acid formed in the reaction falls to the ground as acid rain.,sulfuric acid
The entropy change is positive as the solid state changes into which state?,"The entropy change is positive as the solid state changes into the liquid state. If the transition went from the liquid to the solid state, the numerical value for would be the same, but the sign would be reversed since we are going from a less ordered to a more ordered situation.",liquid
Plants go through seasonal changes after detecting differences in what?,Plants go through seasonal changes after detecting differences in day length.,day length
"The earliest types of what lacked flowers, leaves, roots and stems?","Most modern plants, like the skunk cabbage, produce flowers. However, flowers evolved relatively late in the history of plants. The earliest plants not only lacked flowers. They also lacked leaves, roots, and stems. They probably resembled the alga in Figure below .",plants
An inversion may result when what kind of mass moves over cold ground?,"When a new air mass moves over a region it brings its characteristics to the region. This may change the area's temperature and humidity. Moving air masses cause the weather to change when they contact different conditions. For example, a warm air mass moving over cold ground may cause an inversion.",warm air
Elements with magic numbers of what tend to have more stable isotopes?,Isotopes with magic numbers of protons and/or neutrons tend to be especially stable. Elements with magic numbers of protons tend to have more stable isotopes than elements that do not.,protons
What is another term for scale worms?,"Halkieria, or scale worms, are an example of a fossil life from the Cambrian.",halkieria
What effect causes global winds to blow on a diagonal over the earth's surface?,Global winds occur in belts around the globe. They are caused by unequal heating of Earth’s surface. The Coriolis effect causes global winds to blow on a diagonal over the surface. Unequal heating also causes jet streams high in the troposphere.,coriolis effect
"Bar, circle, and line are examples of what kind of data visualization?","Graphs are very useful tools in science because they display data visually. Three commonly used types of graphs are bar graphs, circle graphs, and line graphs. Each type of graph is suitable for a different type of data.",graphs
Where was the distinction between total distance traveled and displacement first noted?,Discussion Quite a trip (if it survives)! Note that this distance is the total distance traveled by the fly. Displacement is actually zero for complete revolutions because they bring the fly back to its original position. The distinction between total distance traveled and displacement was first noted in One-Dimensional Kinematics.,one-dimensional kinematics
What equals the output power divided by the input power?,; The efficiency equals the output power divided by the input power.,efficiency
All of the stages that a cell goes through make up what?,Cell division is just one of the stages that a cell goes through during its lifetime. All of the stages that a cell goes through make up the cell cycle .,the cell cycle
What measures the force of gravity pulling on an object?,Weight measures the force of gravity pulling on an object. The SI unit for weight is the Newton (N).,weight
Cells with different functions often differ in what physical property?,Cells come in many different shapes. Cells with different functions often have different shapes.,shape
