,question,full_answer,drag_question,correct_answer,draggables
0,What type of organism is commonly used in preparation of foods such as cheese and yogurt?,"Mesophiles grow best in moderate temperature, typically between 25°C and 40°C (77°F and 104°F). Mesophiles are often found living in or on the bodies of humans or other animals. The optimal growth temperature of many pathogenic mesophiles is 37°C (98°F), the normal human body temperature. Mesophilic organisms have important uses in food preparation, including cheese, yogurt, beer and wine.","Mesophiles grow best in moderate temperature, _____ between 25°C and 40°C (77°F and 104°F). Mesophiles are often _____ living in or on the bodies of _____ or other animals. The optimal growth temperature of many pathogenic mesophiles is 37°C (98°F), the normal human _____ temperature. Mesophilic _____ have important uses in food preparation, including cheese, yogurt, _____ and wine.","typically, body, found, organisms, beer, humans","found, body, organisms, beer, humans, typically"
4,Kilauea in hawaii is the world’s most continuously active volcano. very active volcanoes characteristically eject red-hot rocks and lava rather than this?,"Example 3.5 Calculating Projectile Motion: Hot Rock Projectile Kilauea in Hawaii is the world’s most continuously active volcano. Very active volcanoes characteristically eject red-hot rocks and lava rather than smoke and ash. Suppose a large rock is ejected from the volcano with a speed of 25.0 m/s and at an angle 35.0º above the horizontal, as shown in Figure 3.40. The rock strikes the side of the volcano at an altitude 20.0 m lower than its starting point. (a) Calculate the time it takes the rock to follow this path. (b) What are the magnitude and direction of the rock’s velocity at impact?.","_____ 3.5 Calculating Projectile Motion: Hot Rock Projectile Kilauea in Hawaii is the world’s most continuously active volcano. _____ active volcanoes characteristically eject red-hot _____ and lava rather than _____ and ash. Suppose a large rock is ejected from the volcano with a speed of 25.0 m/s and at an angle 35.0º above the horizontal, as shown in Figure 3.40. The rock strikes the side of the volcano at an altitude 20.0 m _____ than its starting point. (a) Calculate the time it takes the rock to follow this path. (b) What are the magnitude and direction of the rock’s _____ at impact?.","Example, smoke, lower, velocity, rocks, Very","lower, Example, velocity, Very, rocks, smoke"
5,"When a meteoroid reaches earth, what is the remaining object called?","Meteoroids are smaller than asteroids, ranging from the size of boulders to the size of sand grains. When meteoroids enter Earth’s atmosphere, they vaporize, creating a trail of glowing gas called a meteor. If any of the meteoroid reaches Earth, the remaining object is called a meteorite.","Meteoroids are smaller _____ asteroids, ranging from the size of boulders to the size of _____ grains. When meteoroids enter _____ atmosphere, they vaporize, creating a _____ of glowing _____ called a meteor. If any of the meteoroid _____ Earth, the remaining object is called a meteorite.","gas, Earth’s, than, trail, sand, reaches","Earth’s, trail, reaches, sand, than, gas"
7,"Organisms categorized by what species descriptor demonstrate a version of allopatric speciation and have limited regions of overlap with one another, but where they overlap they interbreed successfully?.","Ring species Ring species demonstrate a version of allopatric speciation. Imagine populations of the species A. Over the geographic range of A there exist a number of subpopulations. These subpopulations (A1 to A5) and (Aa to Ae) have limited regions of overlap with one another but where they overlap they interbreed successfully. But populations A5 and Ae no longer interbreed successfully – are these populations separate species?  In this case, there is no clear-cut answer, but it is likely that in the link between the various populations will be broken and one or more species may form in the future. Consider the black bear Ursus americanus. Originally distributed across all of North America, its distribution is now much more fragmented. Isolated populations are free to adapt to their own particular environments and migration between populations is limited. Clearly the environment in Florida is different from that in Mexico, Alaska, or Newfoundland. Different environments will favor different adaptations. If, over time, these populations were to come back into contact with one another, they might or might not be able to interbreed successfully - reproductive isolation may occur and one species may become many.","Ring species Ring species _____ a _____ of allopatric speciation. Imagine populations of the species A. Over the geographic range of A there exist a number of subpopulations. _____ subpopulations (A1 to A5) and (Aa to Ae) have limited regions of overlap with one another but where they overlap they interbreed successfully. But populations A5 and Ae no longer interbreed successfully – are these populations separate species?  In this case, there is no clear-cut _____, but it is likely that in the link between the various populations will be broken and one or more species may _____ in the future. Consider the black bear Ursus americanus. Originally distributed across all of North America, _____ distribution is now much more fragmented. Isolated populations are free to adapt to their own particular environments and migration between populations is limited. Clearly the environment in Florida is different from that in Mexico, Alaska, or Newfoundland. Different environments will favor different adaptations. If, over time, these populations were to come back into contact with one another, they might or might not be able to interbreed successfully - reproductive isolation may occur and one species may become many.","form, These, its, version, demonstrate, answer","These, its, version, answer, form, demonstrate"
11,What is controlled by both genes and experiences in a given envionment?,Most animal behaviors are controlled by both genes and experiences in a given environment.,Most _____ _____ are _____ by both _____ and _____ in a _____ environment.,"controlled, animal, experiences, genes, given, behaviors","controlled, given, animal, experiences, genes, behaviors"
13,What are used to write nuclear equations for radioactive decay?,Nuclear symbols are used to write nuclear equations for radioactive decay. Let’s consider the example of the beta-minus decay of thorium-234 to protactinium-234. This reaction is represented by the equation:.,Nuclear _____ are used to _____ nuclear _____ for radioactive decay. Let’s _____ the _____ of the beta-minus decay of thorium-234 to protactinium-234. This reaction is represented by the equation:.,"example, consider, symbols, equations, thorium234, write","example, symbols, write, thorium234, consider, equations"
15,Boron only occurs naturally in compounds with what element?,"Occurrence, Preparation, and Compounds of Boron and Silicon Boron constitutes less than 0.001% by weight of the earth’s crust. In nature, it only occurs in compounds with oxygen. Boron is widely distributed in volcanic regions as boric acid, B(OH)3, and in dry lake regions, including the desert areas of California, as borates and salts of boron oxyacids, such as borax, Na2B4O7⋅10H2O. Elemental boron is chemically inert at room temperature, reacting with only fluorine and oxygen to form boron trifluoride, BF3, and boric oxide, B2O3, respectively. At higher temperatures, boron reacts with all nonmetals, except tellurium and the noble gases, and with nearly all metals; it oxidizes to B2O3 when heated with concentrated nitric or sulfuric acid. Boron does not react with nonoxidizing acids. Many boron compounds react readily with water to give boric acid, B(OH)3 (sometimes written as H3BO3). Reduction of boric oxide with magnesium powder forms boron (95–98.5% pure) as a brown, amorphous powder: B 2 O 3(s) + 3Mg(s) ⟶ 2B(s) + 3MgO(s) An amorphous substance is a material that appears to be a solid, but does not have a long-range order like a true solid. Treatment with hydrochloric acid removes the magnesium oxide. Further purification of the boron begins with conversion of the impure boron into boron trichloride. The next step is to heat a mixture of boron trichloride and hydrogen: 1500 °C.","Occurrence, Preparation, and Compounds of Boron and Silicon Boron constitutes less than 0.001% by weight of the earth’s crust. In nature, it only _____ in compounds with oxygen. Boron is widely distributed in volcanic regions as boric acid, B(OH)3, and in dry lake regions, including the desert areas of California, as borates and salts of boron oxyacids, such as borax, Na2B4O7⋅10H2O. Elemental boron is chemically inert at room temperature, reacting with only fluorine and oxygen to form boron trifluoride, BF3, and boric oxide, B2O3, respectively. At higher temperatures, boron reacts with all nonmetals, except tellurium and the noble gases, and with nearly all metals; it oxidizes to B2O3 when heated with concentrated nitric or sulfuric acid. Boron does not react with nonoxidizing acids. Many boron compounds react readily with _____ to give boric acid, B(OH)3 (sometimes written as H3BO3). Reduction of boric oxide with magnesium powder forms boron (95–98.5% pure) as a brown, amorphous powder: B 2 O 3(s) + 3Mg(s) ⟶ 2B(s) + 3MgO(s) An amorphous substance is a material that appears to be a solid, but does not have a long-range order _____ a _____ solid. Treatment with hydrochloric acid removes the magnesium oxide. _____ purification of the boron begins with conversion of the _____ boron into boron trichloride. The next step is to heat a mixture of boron trichloride and hydrogen: 1500 °C.","impure, water, Further, true, occurs, like","occurs, water, like, Further, impure, true"
16,What organ systems link exchange surfaces with cells throughout the body?,42.1 Circulatory systems link exchange surfaces with cells throughout the body.,42.1 _____ _____ _____ _____ _____ with cells _____ the body.,"surfaces, Circulatory, exchange, link, systems, throughout","surfaces, Circulatory, link, throughout, systems, exchange"
18,"Fertilization is the union of a sperm and egg, resulting in the formation of what?","Fertilization is the union of a sperm and egg, resulting in the formation of a zygote.","_____ is the _____ of a _____ and _____, _____ in the formation of a _____.","sperm, resulting, Fertilization, egg, union, zygote","Fertilization, resulting, sperm, union, egg, zygote"
20,Most of the chemical reactions in the body are facilitated by what?,"Enzymes are critical to the body’s healthy functioning. They assist, for example, with the breakdown of food and its conversion to energy. In fact, most of the chemical reactions in the body are facilitated by enzymes.","Enzymes are critical to the body’s healthy _____. They _____, for example, with the breakdown of food and its conversion to energy. In _____, _____ of the chemical reactions in the body are _____ by _____.","assist, most, facilitated, enzymes, functioning, fact","functioning, fact, assist, most, enzymes, facilitated"
