question,answer,question_with_blanks,draggables
A circuit must be what in order for electric devices such as light bulbs to work?,A circuit must be closed for electric devices such as light bulbs to work. The arrows in the diagram show the direction in which electrons flow through the circuit. The current is considered to flow in the opposite direction.,A circuit must be closed for electric devices such as light bulbs to work. The arrows in the diagram show the direction in which electrons flow through the circuit. The current [DROP] [DROP] to flow in the [DROP] direction.,"is, considered, opposite"
"Deficiency of what is symptomized by nausea, fatigue and dizziness, and can be triggered by excessive sweating?","An alkaline battery is a variation on the zinc-carbon dry cell. The alkaline battery has no carbon rod and uses a paste of zinc metal and potassium hydroxide instead of a solid metal anode. The cathode half-reaction is the same, but the anode half-reaction is different.","An alkaline battery is a variation on the [DROP] dry cell. The alkaline battery has no carbon rod [DROP] uses a paste of zinc metal and potassium hydroxide instead of a [DROP] metal anode. The cathode [DROP] is the same, but the anode half-reaction is different.","zinc-carbon, and, solid, half-reaction"
What organs filter wastes from blood so they can be excreted from the body?,Vertebrates have an excretory system that includes a pair of kidneys. Kidneys are organs that filter wastes from blood so they can be excreted from the body.,Vertebrates [DROP] an excretory system that includes a pair of kidneys. Kidneys [DROP] organs that filter wastes from [DROP] so they can be excreted from the body.,"have, are, blood"
What field of study is called the language of science?,"The field of science has gotten so big that it is common to separate it into more specific fields. First, there is mathematics, the language of science. All scientific fields use mathematics to express themselves—some more than others. Physics and astronomy are scientific fields concerned with the fundamental interactions between matter and energy. Chemistry, as defined previously, is the study of the interactions of matter with other matter and with energy. Biology is the study of living organisms, while geology is the study of the earth. Other sciences can be named as well. Understand that these fields are not always completely separate; the boundaries between scientific fields are not always readily apparent. Therefore, a scientist may be labeled a biochemist if he or she studies the chemistry of biological organisms. Finally, understand that science can be either qualitative or quantitative. Qualitative implies a description of the quality of an object. For example, physical properties are generally qualitative descriptions: sulfur is yellow, your math book is heavy, or that statue is pretty. A quantitative description represents the specific amount of something; it means knowing how much of something is present, usually by counting or measuring it. As such, some quantitative descriptions would include 25 students in a class, 650 pages in a book, or a velocity of 66 miles per hour. Quantitative expressions are very important in science; they are also very important in chemistry.","The field of science has gotten so big [DROP] it is common to separate it into more specific fields. First, there is mathematics, the language of science. All scientific fields use mathematics to express themselves—some more than others. Physics and astronomy are scientific fields concerned with the fundamental interactions between matter and energy. Chemistry, as defined previously, is the study of the interactions of matter with other matter and with energy. Biology is the study of living organisms, while geology is the study of the earth. Other sciences can be named as well. Understand [DROP] these fields are not always completely separate; the boundaries between scientific fields are not always [DROP] apparent. Therefore, a [DROP] [DROP] be labeled a biochemist if he or she studies the chemistry of biological organisms. Finally, understand that science can be either qualitative or quantitative. Qualitative implies a description of the quality of an object. For example, physical properties are generally qualitative descriptions: sulfur is yellow, your math book is heavy, or that statue is pretty. A quantitative description represents the [DROP] amount of something; it means knowing how much of something is present, usually by counting or measuring it. As such, some quantitative descriptions would include 25 students in a class, 650 pages in a book, or a velocity of 66 miles per hour. Quantitative expressions are very important in science; they are also very important in chemistry.","that, that, readily, scientist, may, specific"
"Bacteria reproduce through what process, where the chromosome copies itself, forming two genetically identical copies?","Bacteria reproduce through a process called binary fission . During binary fission, the chromosome copies itself, forming two genetically identical copies. Then, the cell enlarges and divides into two new daughter cells. The two daughter cells are identical to the parent cell. Binary fission can happen very rapidly. Some species of bacteria can double their population in less than ten minutes!.","Bacteria reproduce [DROP] a process called binary fission . During binary fission, the chromosome copies [DROP] forming two genetically identical copies. Then, the cell enlarges and divides [DROP] two [DROP] daughter cells. The two daughter cells are [DROP] to the parent cell. Binary fission can happen very rapidly. [DROP] species of bacteria can double their population in less than ten minutes!.","through, itself,, into, new, identical, Some"
What is the term for a state of matter that yields to sideways or shearing forces?,Section Summary 11.1 What Is a Fluid? • A fluid is a state of matter that yields to sideways or shearing forces. Liquids and gases are both fluids. Fluid statics is the physics of stationary fluids.,Section Summary 11.1 What Is a Fluid? • A fluid is a state of matter that yields to [DROP] or shearing forces. Liquids and gases [DROP] both fluids. Fluid statics is the physics [DROP] stationary fluids.,"sideways, are, of"
What part of the muscle fibers cause shortening and contraction?,The sliding-and-shortening process occurs all along many myofibrils and in many muscle fibers. It causes the muscle fibers to shorten and the muscle to contract.,The sliding-and-shortening process occurs all along many myofibrils and [DROP] [DROP] [DROP] fibers. It causes the muscle fibers to shorten and the muscle to contract.,"in, many, muscle"
What is the term for the movement of substances due to random thermal molecular motion?,"12.7 Molecular Transport Phenomena: Diffusion, Osmosis, and Related Processes Diffusion There is something fishy about the ice cube from your freezer—how did it pick up those food odors? How does soaking a sprained ankle in Epsom salt reduce swelling? The answer to these questions are related to atomic and molecular transport phenomena—another mode of fluid motion. Atoms and molecules are in constant motion at any temperature. In fluids they move about randomly even in the absence of macroscopic flow. This motion is called a random walk and is illustrated in Figure 12.20. Diffusion is the movement of substances due to random thermal molecular motion. Fluids, like fish fumes or odors entering ice cubes, can even diffuse through solids. Diffusion is a slow process over macroscopic distances. The densities of common materials are great enough that molecules cannot travel very far before having a collision that can scatter them in any direction, including straight backward. It can be shown that the average distance x rms that a molecule travels is proportional to the square root of time:.","12.7 Molecular Transport Phenomena: Diffusion, Osmosis, and Related Processes Diffusion There is something fishy about the ice cube from your freezer—how did it [DROP] up those food odors? How does soaking a sprained ankle in Epsom salt reduce swelling? The answer to these questions are related to atomic and molecular transport phenomena—another mode of fluid motion. Atoms and molecules [DROP] in constant motion at any [DROP] In fluids they move about randomly [DROP] in the absence of macroscopic flow. This motion is called a random walk and is illustrated in Figure 12.20. Diffusion is the movement of substances due to random thermal molecular motion. Fluids, like fish fumes or odors entering ice cubes, can even diffuse through solids. Diffusion is a slow process over macroscopic distances. The densities of [DROP] materials are great enough that molecules cannot travel very far before having a collision that can scatter them in any direction, including straight backward. It can be shown that the average distance x rms that a molecule travels is proportional to the square root [DROP] time:.","pick, are, temperature., even, common, of"
Why does photosynthesis not occur in the deep-water zone?,The deep-water zone is dark so there is no photosynthesis. Most deep-water organisms are scavengers. They feed on dead organisms that fall to the bottom of the lake. Crabs and catfish are two of these types of organisms. Fungi and bacteria are decomposers that live in the deep zone.,The deep-water zone [DROP] dark so there is no photosynthesis. Most deep-water organisms are scavengers. They feed on dead organisms that [DROP] to the bottom of the lake. Crabs and catfish are two of these types [DROP] organisms. Fungi and bacteria are decomposers that live in [DROP] deep zone.,"is, fall, of, the"
"Once a plant cell becomes specialized, what can they no longer do?","As plant cells grow, they also become specialized into different cell types. Once cells become specialized, they can no longer divide. So how do plants grow after that? The key to continued growth is meristem. Meristem is a type of plant tissue consisting of undifferentiated cells that can continue to divide.","As plant cells grow, they also become [DROP] into different cell [DROP] Once cells become specialized, they can no longer divide. So how do plants grow after that? The key to continued growth is [DROP] Meristem is a type of [DROP] tissue consisting of undifferentiated cells that can continue [DROP] divide.","specialized, types., meristem., plant, to"
